	#	Name	Type 1	Type 2	Speed	total	Generation	Legendary	HP	Attack	Defense	Sp. Atk	Sp. Def
761	691	Dragalge	Poison	Dragon	44	236.0	6	False	65	75	90	97	123
762	692	Clauncher	Water		44	171.0	6	False	50	53	62	58	63
763	693	Clawitzer	Water		59	238.0	6	False	71	73	88	120	89
764	694	Helioptile	Electric	Normal	70	121.0	6	False	44	38	33	61	43
765	695	Heliolisk	Electric	Normal	109	175.0	6	False	62	55	52	109	94
766	696	Tyrunt	Rock	Dragon	48	230.0	6	False	58	89	77	45	45
767	697	Tyrantrum	Rock	Dragon	71	328.0	6	False	82	121	119	69	59
768	698	Amaura	Rock	Ice	46	192.0	6	False	77	59	50	67	63
769	699	Aurorus	Rock	Ice	58	278.0	6	False	123	77	72	99	92
770	700	Sylveon	Fairy		60	231.0	6	False	95	65	65	110	130
771	701	Hawlucha	Fighting	Flying	118	251.0	6	False	78	92	75	74	63
772	702	Dedenne	Electric	Fairy	101	188.0	6	False	67	58	57	81	67
773	703	Carbink	Rock	Fairy	50	256.0	6	False	50	50	150	50	150
774	704	Goomy	Dragon		40	136.0	6	False	45	50	35	55	75
775	705	Sliggoo	Dragon		60	202.0	6	False	68	75	53	83	113
776	706	Goodra	Dragon		80	266.0	6	False	90	100	70	110	150
777	707	Klefki	Steel	Fairy	75	234.0	6	False	57	80	91	80	87
778	708	Phantump	Ghost	Grass	38	167.0	6	False	43	70	48	50	60
779	709	Trevenant	Ghost	Grass	56	277.0	6	False	85	110	76	65	82
780	710	PumpkabooAverage Size	Ghost	Grass	51	191.0	6	False	49	66	70	44	55
781	710	PumpkabooSmall Size	Ghost	Grass	56	186.0	6	False	44	66	70	44	55
782	710	PumpkabooLarge Size	Ghost	Grass	46	196.0	6	False	54	66	70	44	55
783	710	PumpkabooSuper Size	Ghost	Grass	41	201.0	6	False	59	66	70	44	55
784	711	GourgeistAverage Size	Ghost	Grass	84	283.0	6	False	65	90	122	58	75
785	711	GourgeistSmall Size	Ghost	Grass	99	268.0	6	False	55	85	122	58	75
786	711	GourgeistLarge Size	Ghost	Grass	69	298.0	6	False	75	95	122	58	75
787	711	GourgeistSuper Size	Ghost	Grass	54	313.0	6	False	85	100	122	58	75
788	712	Bergmite	Ice		28	215.0	6	False	55	69	85	32	35
789	713	Avalugg	Ice		28	402.0	6	False	95	117	184	44	46
790	714	Noibat	Flying	Dragon	55	111.0	6	False	40	30	35	45	40
791	715	Noivern	Flying	Dragon	123	241.0	6	False	85	70	80	97	80
792	716	Xerneas	Fairy		99	359.0	6	True	126	131	95	131	98
793	717	Yveltal	Dark	Flying	99	359.0	6	True	126	131	95	131	98
794	718	Zygarde50% Forme	Dragon	Ground	95	336.0	6	True	108	100	121	81	95
795	719	Diancie	Rock	Fairy	50	307.0	6	True	50	100	150	100	150
796	719	DiancieMega Diancie	Rock	Fairy	110	327.0	6	True	50	160	110	160	110
797	720	HoopaHoopa Confined	Psychic	Ghost	70	257.0	6	True	80	110	60	150	130
798	720	HoopaHoopa Unbound	Psychic	Dark	80	307.0	6	True	80	160	60	170	130
799	721	Volcanion	Fire	Water	70	317.0	6	True	80	110	120	130	90
